,np,bacteria,bac_type,np_synthesis,method,shape,reference,kingdom,phylum,class,order,family,genus,gram,isolated_from,source,concentration,mol_weight (g/mol),np_size_avg (nm),time_set,"min_Incub_period, h","growth_temp, C",Valance_electron,labuteASA,tpsa,CrippenMR,chi0v
122,Au,Pseudomonas aeruginosa,opportunistic pathogen,chemical_synthesis,MIC,spherical,https://www.cell.com/heliyon/fulltext/S2405-8440(18)35282-4?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS2405844018352824%3Fshowall%3Dtrue,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,n,soil,0,3.698970004,196.966569,1.4,24,24,37,11,23.00188061,0,0,2.46797672
123,Au,Pseudomonas aeruginosa,opportunistic pathogen,chemical_synthesis,MBEC,spherical,https://www.cell.com/heliyon/fulltext/S2405-8440(18)35282-4?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS2405844018352824%3Fshowall%3Dtrue,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,n,soil,0,3.096910013,196.966569,1.4,24,24,37,11,23.00188061,0,0,2.46797672
124,Au,Pseudomonas aeruginosa,opportunistic pathogen,chemical_synthesis,MIC,spherical,https://www.cell.com/heliyon/fulltext/S2405-8440(18)35282-4?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS2405844018352824%3Fshowall%3Dtrue,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,n,soil,0,1.892094603,196.966569,50,24,24,37,11,23.00188061,0,0,2.46797672
125,Au,Pseudomonas aeruginosa,opportunistic pathogen,chemical_synthesis,MBEC,spherical,https://www.cell.com/heliyon/fulltext/S2405-8440(18)35282-4?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS2405844018352824%3Fshowall%3Dtrue,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,n,soil,0,3.096910013,196.966569,50,24,24,37,11,23.00188061,0,0,2.46797672
126,Au,Candida albicans,pathogenic,chemical_synthesis,MIC,spherical,https://www.cell.com/heliyon/fulltext/S2405-8440(18)35282-4?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS2405844018352824%3Fshowall%3Dtrue,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida,f,mouth,0,3.397940009,196.966569,1.4,24,48,37,11,23.00188061,0,0,2.46797672
127,Au,Candida albicans,pathogenic,chemical_synthesis,MBEC,spherical,https://www.cell.com/heliyon/fulltext/S2405-8440(18)35282-4?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS2405844018352824%3Fshowall%3Dtrue,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida,f,mouth,0,3.096910013,196.966569,1.4,24,48,37,11,23.00188061,0,0,2.46797672
128,Au,Candida albicans,pathogenic,chemical_synthesis,MIC,spherical,https://www.cell.com/heliyon/fulltext/S2405-8440(18)35282-4?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS2405844018352824%3Fshowall%3Dtrue,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida,f,mouth,0,2.494154594,196.966569,50,24,48,37,11,23.00188061,0,0,2.46797672
129,Au,Candida albicans,pathogenic,chemical_synthesis,MBEC,spherical,https://www.cell.com/heliyon/fulltext/S2405-8440(18)35282-4?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS2405844018352824%3Fshowall%3Dtrue,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida,f,mouth,0,2.494154594,196.966569,50,24,48,37,11,23.00188061,0,0,2.46797672
130,Au,Enterococcus faecalis,pathogenic,chemical_synthesis,MIC,spherical,https://www.cell.com/heliyon/fulltext/S2405-8440(18)35282-4?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS2405844018352824%3Fshowall%3Dtrue,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,p,urine,0,4,196.966569,1.4,24,24,37,11,23.00188061,0,0,2.46797672
131,Au,Enterococcus faecalis,pathogenic,chemical_synthesis,MBEC,spherical,https://www.cell.com/heliyon/fulltext/S2405-8440(18)35282-4?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS2405844018352824%3Fshowall%3Dtrue,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,p,urine,0,3.397940009,196.966569,1.4,24,24,37,11,23.00188061,0,0,2.46797672
132,Au,Enterococcus faecalis,pathogenic,chemical_synthesis,MIC,spherical,https://www.cell.com/heliyon/fulltext/S2405-8440(18)35282-4?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS2405844018352824%3Fshowall%3Dtrue,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,p,urine,0,1.892094603,196.966569,50,24,24,37,11,23.00188061,0,0,2.46797672
133,Au,Enterococcus faecalis,pathogenic,chemical_synthesis,MBEC,spherical,https://www.cell.com/heliyon/fulltext/S2405-8440(18)35282-4?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS2405844018352824%3Fshowall%3Dtrue,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,p,urine,0,3.096910013,196.966569,50,24,24,37,11,23.00188061,0,0,2.46797672
134,Au,Escherichia coli,pathogenic,chemical_synthesis,MIC,spherical,https://www.cell.com/heliyon/fulltext/S2405-8440(18)35282-4?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS2405844018352824%3Fshowall%3Dtrue,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,n,urine,0,3.397940009,196.966569,1.4,24,48,37,11,23.00188061,0,0,2.46797672
135,Au,Escherichia coli,pathogenic,chemical_synthesis,MBEC,spherical,https://www.cell.com/heliyon/fulltext/S2405-8440(18)35282-4?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS2405844018352824%3Fshowall%3Dtrue,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,n,urine,0,3.397940009,196.966569,1.4,24,48,37,11,23.00188061,0,0,2.46797672
136,Au,Escherichia coli,pathogenic,chemical_synthesis,MIC,spherical,https://www.cell.com/heliyon/fulltext/S2405-8440(18)35282-4?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS2405844018352824%3Fshowall%3Dtrue,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,n,urine,0,1.892094603,196.966569,50,24,48,37,11,23.00188061,0,0,2.46797672
137,Au,Escherichia coli,pathogenic,chemical_synthesis,MBEC,spherical,https://www.cell.com/heliyon/fulltext/S2405-8440(18)35282-4?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS2405844018352824%3Fshowall%3Dtrue,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,n,urine,0,2.193124598,196.966569,50,24,48,37,11,23.00188061,0,0,2.46797672
138,Au,Staphylococcus aureus,pathogenic,chemical_synthesis,MIC,spherical,https://www.cell.com/heliyon/fulltext/S2405-8440(18)35282-4?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS2405844018352824%3Fshowall%3Dtrue,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,p,skin,0,3.698970004,196.966569,1.4,24,24,37,11,23.00188061,0,0,2.46797672
139,Au,Staphylococcus aureus,pathogenic,chemical_synthesis,MBEC,spherical,https://www.cell.com/heliyon/fulltext/S2405-8440(18)35282-4?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS2405844018352824%3Fshowall%3Dtrue,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,p,skin,0,3.397940009,196.966569,1.4,24,24,37,11,23.00188061,0,0,2.46797672
140,Au,Staphylococcus aureus,pathogenic,chemical_synthesis,MIC,spherical,https://www.cell.com/heliyon/fulltext/S2405-8440(18)35282-4?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS2405844018352824%3Fshowall%3Dtrue,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,p,skin,0,1.892094603,196.966569,50,24,24,37,11,23.00188061,0,0,2.46797672
141,Au,Staphylococcus aureus,pathogenic,chemical_synthesis,MBEC,spherical,https://www.cell.com/heliyon/fulltext/S2405-8440(18)35282-4?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS2405844018352824%3Fshowall%3Dtrue,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,p,skin,0,2.795880017,196.966569,50,24,24,37,11,23.00188061,0,0,2.46797672
192,CuO,Serratia marcescens,opportunistic pathogen,chemical_synthesis,MIC,spherical,https://www.sciencedirect.com/science/article/abs/pii/S1387700323000163,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,n,water,4,1.795880017,79.5454,20,24,2,30,17,20.67942236,17.07,0.6865,1.651411411
193,CuO,Bacillus cereus,pathogenic,chemical_synthesis,MIC,spherical,https://www.sciencedirect.com/science/article/abs/pii/S1387700323000163,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,p,food,4,1.795880017,79.5454,20,24,4,30,17,20.67942236,17.07,0.6865,1.651411411
194,CuO,Enterococcus faecalis,pathogenic,chemical_synthesis,MIC,spherical,https://www.sciencedirect.com/science/article/abs/pii/S1387700323000163,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,p,urine,4,1.795880017,79.5454,20,24,24,37,17,20.67942236,17.07,0.6865,1.651411411
195,CuO,Escherichia coli,pathogenic,chemical_synthesis,MIC,spherical,https://www.sciencedirect.com/science/article/abs/pii/S1387700323000163,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,n,urine,4,1.795880017,79.5454,20,24,48,37,17,20.67942236,17.07,0.6865,1.651411411
196,CuO,Staphylococcus aureus,pathogenic,chemical_synthesis,MIC,spherical,https://www.sciencedirect.com/science/article/abs/pii/S1387700323000163,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,p,skin,4,2.096910013,79.5454,20,24,24,37,17,20.67942236,17.07,0.6865,1.651411411
523,Ag,Staphylococcus aureus,pathogenic,chemical_synthesis,MIC,triangular,none,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,p,skin,3,-1.698970004,107.87,40,24,24,37,11,23.00188061,0,0,1.78376517
524,Ag,Staphylococcus aureus,pathogenic,chemical_synthesis,MBC,triangular,none,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,p,skin,3,0.017033339,107.87,40,24,24,37,11,23.00188061,0,0,1.78376517
525,Ag,Staphylococcus epidermidis,opportunistic pathogen,chemical_synthesis,MIC,spherical,none,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,p,nose,3,0.77815125,107.87,40,24,24,37,11,23.00188061,0,0,1.78376517
526,Ag,Staphylococcus epidermidis,opportunistic pathogen,chemical_synthesis,MIC,spherical,none,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,p,nose,3,0.602059991,107.87,40,24,24,37,11,23.00188061,0,0,1.78376517
527,Ag,Staphylococcus epidermidis,opportunistic pathogen,chemical_synthesis,MIC,spherical,none,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,p,nose,3,0,107.87,40,24,24,37,11,23.00188061,0,0,1.78376517
528,Ag,Pseudomonas aeruginosa,opportunistic pathogen,purchased from sigma aldrich ( citrate capped agnps),MIC,spherical,none,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,n,soil,3,0.096910013,107.87,40,24,24,37,11,23.00188061,0,0,1.78376517
510,Ag,Staphylococcus aureus,pathogenic,chemical_synthesis,MIC,triangular,none,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,p,skin,2,-1.045757491,107.87,10,24,24,37,11,23.00188061,0,0,1.78376517
511,Ag,Staphylococcus aureus,pathogenic,chemical_synthesis,MIC,triangular,none,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,p,skin,2,-0.327902142,107.87,10,24,24,37,11,23.00188061,0,0,1.78376517
512,Ag,Staphylococcus aureus,pathogenic,chemical_synthesis,MBC,triangular,none,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,p,skin,2,-0.508638306,107.87,10,24,24,37,11,23.00188061,0,0,1.78376517
513,Ag,Staphylococcus aureus,pathogenic,chemical_synthesis,MBC,triangular,none,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,p,skin,2,0.397940009,107.87,10,24,24,37,11,23.00188061,0,0,1.78376517
514,Ag,Staphylococcus epidermidis,opportunistic pathogen,chemical_synthesis,MIC,spherical,none,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,p,nose,2,0.477121255,107.87,10,24,24,37,11,23.00188061,0,0,1.78376517
515,Ag,Staphylococcus epidermidis,opportunistic pathogen,chemical_synthesis,MIC,spherical,none,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,p,nose,2,0.602059991,107.87,10,24,24,37,11,23.00188061,0,0,1.78376517
516,Ag,Staphylococcus epidermidis,opportunistic pathogen,chemical_synthesis,MIC,spherical,none,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,p,nose,2,0.698970004,107.87,10,24,24,37,11,23.00188061,0,0,1.78376517
517,Ag,Acinetobacter baumannii,pathogenic,green_synthesis,MIC,spherical,none,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,n,urine,2,1.204119983,107.87,10,24,24,37,11,23.00188061,0,0,1.78376517
522,Ag,Pseudomonas aeruginosa,opportunistic pathogen,purchased from sigma aldrich ( citrate capped agnps),MIC,spherical,none,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,n,soil,2,-0.630784143,107.87,10,24,24,37,11,23.00188061,0,0,1.78376517
471,Ag,Salmonella enterica,pathogenic,chemical_synthesis,MIC,spherical,none,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,n,food,1,1.096910013,107.87,8,24,12,37,11,23.00188061,0,0,1.78376517
472,Ag,Staphylococcus aureus,pathogenic,chemical_synthesis,MIC,spherical,none,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,p,skin,1,1.397940009,107.87,8,24,24,37,11,23.00188061,0,0,1.78376517
473,Ag,Escherichia coli,pathogenic,chemical_synthesis,MIC,spherical,none,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,n,urine,1,0.799340549,107.87,8,24,48,37,11,23.00188061,0,0,1.78376517
474,Ag,Actinobacillus pleuropneumoniae,opportunistic pathogen,chemical_synthesis,MIC,spherical,none,Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,n,lungs,1,1.397940009,107.87,8,24,24,37,11,23.00188061,0,0,1.78376517
475,Ag,Pasteurella Multocida,opportunistic pathogen,chemical_synthesis,MIC,spherical,none,Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Pasteurella,n,lungs,1,2,107.87,8,24,12,37,11,23.00188061,0,0,1.78376517
476,Ag,Streptococcus uberis,pathogenic,chemical_synthesis,MIC,spherical,none,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,p,mammary gland,1,0.799340549,107.87,8,24,24,37,11,23.00188061,0,0,1.78376517
491,Ag,Salmonella enterica,pathogenic,chemical_synthesis,MIC,spherical,none,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,n,food,1,1.397940009,107.87,28,24,12,37,11,23.00188061,0,0,1.78376517
492,Ag,Staphylococcus aureus,pathogenic,green_synthesis,MIC,spherical,none,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,p,skin,1,0.698970004,107.87,60,24,24,37,11,23.00188061,0,0,1.78376517
493,Ag,Pseudomonas aeruginosa,opportunistic pathogen,green_synthesis,MIC,spherical,none,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,n,soil,1,0.397940009,107.87,60,24,24,37,11,23.00188061,0,0,1.78376517
494,Ag,Escherichia coli,pathogenic,green_synthesis,MIC,spherical,none,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,n,urine,1,0.397940009,107.87,60,24,48,37,11,23.00188061,0,0,1.78376517
0,Ag,Bacillus subtilis,non-pathogenic,green_synthesis,MIC,spherical,https://doi.org/10.1007/s10876-020-01759-x,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,p,soil,0,0.908485019,107.8682,20,24,0.16,30,11,23.00188061,0,0,1.78376517
1,Ag,Bacillus subtilis,non-pathogenic,green_synthesis,MBC,spherical,https://doi.org/10.1007/s10876-020-01759-x,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,p,soil,0,0.991226076,107.8682,20,24,0.16,30,11,23.00188061,0,0,1.78376517
4,Ag,Klebsiella pneumoniae,opportunistic pathogen,green_synthesis,MIC,spherical,https://doi.org/10.1007/s10876-020-01759-x,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,n,respiratory tract,0,0.908485019,107.8682,20,24,24,30,11,23.00188061,0,0,1.78376517
5,Ag,Klebsiella pneumoniae,opportunistic pathogen,green_synthesis,MBC,spherical,https://doi.org/10.1007/s10876-020-01759-x,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,n,respiratory tract,0,0.991226076,107.8682,20,24,24,30,11,23.00188061,0,0,1.78376517
6,Ag,Pseudomonas aeruginosa,opportunistic pathogen,green_synthesis,MIC,spherical,https://doi.org/10.1007/s10876-020-01759-x,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,n,soil,0,0.799340549,107.8682,20,24,24,37,11,23.00188061,0,0,1.78376517
7,Ag,Pseudomonas aeruginosa,opportunistic pathogen,green_synthesis,MBC,spherical,https://doi.org/10.1007/s10876-020-01759-x,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,n,soil,0,0.908485019,107.8682,20,24,24,37,11,23.00188061,0,0,1.78376517
8,Ag,Escherichia coli,pathogenic,green_synthesis,MIC,spherical,https://doi.org/10.1007/s10876-020-01759-x,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,n,urine,0,0.602059991,107.8682,20,24,48,37,11,23.00188061,0,0,1.78376517
