,Unnamed: 0,source,np,bacteria,bac_type,np_synthesis,method,shape,reference,kingdom,phylum,class,order,family,genus,gram,isolated_from,concentration,np_size_avg (nm),zoi_np,"min_Incub_period, h","avg_Incub_period, h","growth_temp, C",Valance_electron,amw,NumHeteroatoms,kappa1,kappa2,kappa3,Phi,predicted
10,141,8,CuO,Staphylococcus aureus,pathogenic,green_synthesis,disk_diffusion,spheroidal,https://www.tandfonline.com/doi/abs/10.1080/01932691.2020.1791719,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,p,skin,10000.0,12.0,7.12,24.0,36.0,37,17,79.545,2,2.319480519,1.319480519,1.44956182,1.53025468,8.24904643638602
11,142,8,CuO,Staphylococcus aureus,pathogenic,green_synthesis,disk_diffusion,spheroidal,https://www.tandfonline.com/doi/abs/10.1080/01932691.2020.1791719,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,p,skin,25000.0,12.0,10.0,24.0,36.0,37,17,79.545,2,2.319480519,1.319480519,1.44956182,1.53025468,11.322364030822794
12,143,8,CuO,Escherichia coli,pathogenic,green_synthesis,disk_diffusion,spheroidal,https://www.tandfonline.com/doi/abs/10.1080/01932691.2020.1791719,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,n,urine,10000.0,12.0,5.89,48.0,84.0,37,17,79.545,2,2.319480519,1.319480519,1.44956182,1.53025468,9.5736111209267
13,144,8,CuO,Escherichia coli,pathogenic,green_synthesis,disk_diffusion,spheroidal,https://www.tandfonline.com/doi/abs/10.1080/01932691.2020.1791719,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,n,urine,25000.0,12.0,6.43,48.0,84.0,37,17,79.545,2,2.319480519,1.319480519,1.44956182,1.53025468,12.427028492549795
14,145,8,CuO,Escherichia coli,pathogenic,green_synthesis,disk_diffusion,spheroidal,https://www.tandfonline.com/doi/abs/10.1080/01932691.2020.1791719,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,n,urine,10000.0,12.0,7.0,48.0,84.0,37,17,79.545,2,2.319480519,1.319480519,1.44956182,1.53025468,9.5736111209267
15,146,8,CuO,Escherichia coli,pathogenic,green_synthesis,disk_diffusion,spheroidal,https://www.tandfonline.com/doi/abs/10.1080/01932691.2020.1791719,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,n,urine,25000.0,12.0,11.0,48.0,84.0,37,17,79.545,2,2.319480519,1.319480519,1.44956182,1.53025468,12.427028492549795
16,147,8,CuO,Escherichia coli,pathogenic,green_synthesis,disk_diffusion,spheroidal,https://www.tandfonline.com/doi/abs/10.1080/01932691.2020.1791719,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,n,urine,10000.0,12.0,10.27,48.0,84.0,37,17,79.545,2,2.319480519,1.319480519,1.44956182,1.53025468,9.5736111209267
17,148,8,CuO,Escherichia coli,pathogenic,green_synthesis,disk_diffusion,spheroidal,https://www.tandfonline.com/doi/abs/10.1080/01932691.2020.1791719,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,n,urine,25000.0,12.0,11.3,48.0,84.0,37,17,79.545,2,2.319480519,1.319480519,1.44956182,1.53025468,12.427028492549795
18,152,6,Ag,Pseudomonas aeruginosa,opportunistic pathogen,green_synthesis,disk_diffusion,spherical,https://doi.org/10.1007/s10876-020-01759-x,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,n,soil,10.0,20.0,20.3,24.0,48.0,37,11,107.868,1,1.74025974,0.091136933,2.143768512,0.158601936,20.21455278247154
19,153,6,Ag,Klebsiella pneumoniae,opportunistic pathogen,green_synthesis,disk_diffusion,spherical,https://doi.org/10.1007/s10876-020-01759-x,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,n,respiratory tract,10.0,20.0,14.0,24.0,48.0,30,11,107.868,1,1.74025974,0.091136933,2.143768512,0.158601936,18.630881644663948
20,154,6,Ag,Escherichia coli,pathogenic,green_synthesis,disk_diffusion,spherical,https://doi.org/10.1007/s10876-020-01759-x,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,n,urine,10.0,20.0,17.0,48.0,84.0,37,11,107.868,1,1.74025974,0.091136933,2.143768512,0.158601936,17.786319391918106
21,155,6,Ag,Staphylococcus aureus,pathogenic,green_synthesis,disk_diffusion,spherical,https://doi.org/10.1007/s10876-020-01759-x,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,p,skin,10.0,20.0,15.6,24.0,36.0,37,11,107.868,1,1.74025974,0.091136933,2.143768512,0.158601936,16.59537304851887
22,156,6,Ag,Bacillus subtilis,non-pathogenic,green_synthesis,disk_diffusion,spherical,https://doi.org/10.1007/s10876-020-01759-x,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,p,soil,10.0,20.0,14.6,0.16,7.08,30,11,107.868,1,1.74025974,0.091136933,2.143768512,0.158601936,15.560900182917084
23,168,7,Cu,Escherichia coli,pathogenic,chemical_synthesis,disk_diffusion,spherical,https://www.sciencedirect.com/science/article/pii/S174270610700195X?casa_token=ejKjy1APZdMAAAAA:x0VZuIZxvH2mfM9F0QtfnwkWnKj71vPtbaVesQWpFVF5pSSZLn7CBGhjbemd6Tq-Syyd0e8UYsY,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,n,urine,100.0,9.0,9.0,48.0,84.0,37,11,63.546,1,1.519480519,0.444480519,4.219480519,0.675379491,14.9731232761465
24,171,7,Cu,Escherichia coli,pathogenic,chemical_synthesis,disk_diffusion,spherical,https://www.sciencedirect.com/science/article/pii/S174270610700195X?casa_token=ejKjy1APZdMAAAAA:x0VZuIZxvH2mfM9F0QtfnwkWnKj71vPtbaVesQWpFVF5pSSZLn7CBGhjbemd6Tq-Syyd0e8UYsY,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,n,urine,101.0,9.0,11.0,48.0,84.0,37,11,63.546,1,1.519480519,0.444480519,4.219480519,0.675379491,15.179914382531477
25,173,7,Cu,Bacillus subtilis,non-pathogenic,chemical_synthesis,disk_diffusion,spherical,https://www.sciencedirect.com/science/article/pii/S174270610700195X?casa_token=ejKjy1APZdMAAAAA:x0VZuIZxvH2mfM9F0QtfnwkWnKj71vPtbaVesQWpFVF5pSSZLn7CBGhjbemd6Tq-Syyd0e8UYsY,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,p,soil,100.0,9.0,20.0,0.16,7.08,30,11,63.546,1,1.519480519,0.444480519,4.219480519,0.675379491,14.393852109852329
26,175,7,Cu,Staphylococcus aureus,pathogenic,chemical_synthesis,disk_diffusion,spherical,https://www.sciencedirect.com/science/article/pii/S174270610700195X?casa_token=ejKjy1APZdMAAAAA:x0VZuIZxvH2mfM9F0QtfnwkWnKj71vPtbaVesQWpFVF5pSSZLn7CBGhjbemd6Tq-Syyd0e8UYsY,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,p,skin,103.0,9.0,14.0,24.0,36.0,37,11,63.546,1,1.519480519,0.444480519,4.219480519,0.675379491,17.002219337258584
27,176,7,Cu,Staphylococcus aureus,pathogenic,chemical_synthesis,disk_diffusion,spherical,https://www.sciencedirect.com/science/article/pii/S174270610700195X?casa_token=ejKjy1APZdMAAAAA:x0VZuIZxvH2mfM9F0QtfnwkWnKj71vPtbaVesQWpFVF5pSSZLn7CBGhjbemd6Tq-Syyd0e8UYsY,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,p,skin,100.0,9.0,14.0,24.0,36.0,37,11,63.546,1,1.519480519,0.444480519,4.219480519,0.675379491,17.223698616698126
28,178,7,Cu,Staphylococcus aureus,pathogenic,chemical_synthesis,disk_diffusion,spherical,https://www.sciencedirect.com/science/article/pii/S174270610700195X?casa_token=ejKjy1APZdMAAAAA:x0VZuIZxvH2mfM9F0QtfnwkWnKj71vPtbaVesQWpFVF5pSSZLn7CBGhjbemd6Tq-Syyd0e8UYsY,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,p,skin,100.0,9.0,13.0,24.0,36.0,37,11,63.546,1,1.519480519,0.444480519,4.219480519,0.675379491,17.223698616698126
