generations,Avg_mean_10,Avg_max_1-,Avg_mean_50,Avg_max_50,Avg_mean_100,Avg_max_100,Avg_mean_70,Avg_max_70
43,0.425526725,0.900392021,0.480078934,0.9800166,0.453041983,1.049851454,0.507038094,1.038166877
44,0.469128797,0.900392021,0.445156959,0.9800166,0.474825191,1.049851454,0.46266648,1.038166877
45,0.500999336,0.900392021,0.458126717,0.960069893,0.462793655,1.049851454,0.479890171,1.038166877
46,0.463046011,0.960706484,0.470185978,0.960069893,0.463924828,1.049851454,0.48919657,1.038166877
47,0.483701554,0.960706484,0.466662097,0.960069893,0.45418292,1.049851454,0.471180017,1.038166877
48,0.490414729,0.960706484,0.495124135,0.960069893,0.468365221,1.049851454,0.488417839,1.038166877
49,0.525917802,0.960706484,0.466734888,0.960069893,0.461370829,1.049851454,0.491054902,1.038166877
50,0.570253309,0.960706484,0.433369418,0.960069893,0.458832131,1.049851454,0.48148803,1.038166877
51,0.484948325,0.960706484,0.444289161,0.960877985,0.462789441,1.049851454,0.483213387,1.038166877
52,0.607374137,0.960706484,0.477356913,0.960877985,0.461031655,1.049851454,0.51321319,1.038166877
53,0.551126114,0.960706484,0.492672122,0.960877985,0.46399742,1.049851454,0.478520234,1.038166877
54,0.529193842,0.960706484,0.489851628,0.960877985,0.463105888,1.049851454,0.486493425,1.038166877
55,0.532579347,0.960706484,0.465593788,0.960877985,0.459943894,1.049851454,0.474256748,1.038166877
56,0.496733964,0.960706484,0.496338346,0.960877985,0.461955141,1.049851454,0.498298958,1.038166877
57,0.490336833,0.960706484,0.486346557,0.960877985,0.465657123,1.049851454,0.476658432,1.038166877
58,0.48647402,0.960706484,0.478762541,0.960877985,0.468549734,1.049851454,0.499942786,1.038166877
59,0.502726403,0.960706484,0.4742382,0.960877985,0.479925999,1.049851454,0.495789792,1.038166877
60,0.491597785,0.960706484,0.477407719,0.960877985,0.475878265,1.049851454,0.479518874,1.038166877
61,0.432612429,0.960706484,0.476768539,0.960877985,0.49774774,1.049851454,0.506806701,1.038166877
62,0.548759874,0.960706484,0.47030867,0.960877985,0.483506237,1.049851454,0.470640438,1.038166877
63,0.542020244,0.960706484,0.464378332,0.960877985,0.457856534,1.049851454,0.484020252,1.038166877
64,0.525138878,0.960706484,0.479071875,0.960877985,0.454433339,1.049851454,0.468967474,1.038166877
65,0.51303106,0.960706484,0.473425866,0.960877985,0.469220912,1.049851454,0.501523048,1.038166877
66,0.51810621,0.960706484,0.493597488,0.960877985,0.478126003,1.049851454,0.504169574,1.038166877
67,0.502965347,0.960706484,0.476487099,0.960877985,0.465278031,1.049851454,0.510447657,1.038166877
68,0.53661112,0.960706484,0.485824177,0.960877985,0.486210506,1.049851454,0.500371489,1.038166877
69,0.523765091,0.960706484,0.476568225,0.960877985,0.486200819,1.049851454,0.497517909,1.038166877
70,0.526199996,0.960706484,0.481472136,0.960877985,0.475776462,1.049851454,0.49957615,1.038166877
71,0.543791261,0.960706484,0.487696968,0.960877985,0.486849286,1.049851454,0.516786219,1.038166877
72,0.552730758,1.000849053,0.47919992,0.960877985,0.486027814,1.049851454,0.49030891,1.038166877
73,0.521638438,1.000849053,0.485923369,0.960877985,0.498100931,1.049851454,0.521942623,1.038166877
74,0.546786756,1.000849053,0.526318364,0.960877985,0.481543552,1.049851454,0.513482305,1.038166877
75,0.493869551,1.000849053,0.468277407,0.960877985,0.499837941,1.049851454,0.516748425,1.038166877
76,0.499559016,1.000849053,0.504715129,0.960877985,0.489847381,1.049851454,0.501684672,1.038166877
77,0.587441334,1.000849053,0.503930698,0.960877985,0.491408956,1.049851454,0.513899774,1.038166877
78,0.567452565,1.000849053,0.475181796,0.960877985,0.488189703,1.049851454,0.496729519,1.038166877
79,0.585007303,1.000849053,0.502299499,0.960877985,0.47839381,1.049851454,0.473745908,1.038166877
80,0.569016858,1.000849053,0.499281622,0.960877985,0.493037795,1.049851454,0.519988086,1.038166877
81,0.538524713,1.000849053,0.509376499,0.993211625,0.496726771,1.049851454,0.50500953,1.038166877
82,0.543229769,1.000849053,0.493368905,0.993211625,0.492107121,1.049851454,0.504431883,1.038166877
83,0.53988927,1.000849053,0.486499342,1.012441843,0.493834841,1.049851454,0.505041878,1.038166877
84,0.494926547,1.000849053,0.502098771,1.012441843,0.504414678,1.049851454,0.502299241,1.038166877
85,0.523777973,1.000849053,0.489613086,1.012441843,0.499749077,1.049851454,0.504232445,1.038166877
86,0.579831491,1.000849053,0.476628545,1.012441843,0.481528648,1.049851454,0.477562325,1.038166877
87,0.518142176,1.000849053,0.46485964,1.012441843,0.478033973,1.049851454,0.512045776,1.038166877
88,0.514045988,1.000849053,0.487249422,1.012441843,0.498083129,1.049851454,0.501000104,1.038166877
89,0.484279087,1.000849053,0.495369159,1.012441843,0.475727074,1.049851454,0.520478874,1.038166877
90,0.559972294,1.000849053,0.506264072,1.012441843,0.495919702,1.049851454,0.518782293,1.038166877
91,0.542035597,1.000849053,0.519181101,1.012441843,0.503637021,1.049851454,0.488211657,1.038166877
92,0.536367769,1.000849053,0.521115243,1.012441843,0.479908903,1.049851454,0.515337996,1.038166877
93,0.484676097,1.000849053,0.487032253,1.012441843,0.489867333,1.049851454,0.505887238,1.038166877
94,0.529286367,1.000849053,0.523436899,1.012441843,0.495693402,1.049851454,0.51104987,1.038166877
95,0.500095105,1.000849053,0.48123655,1.012441843,0.51172167,1.049851454,0.531706123,1.038166877
96,0.531445518,1.000849053,0.499279679,1.012441843,0.51887785,1.049851454,0.51189175,1.038166877
97,0.584246472,1.000849053,0.480427502,1.012441843,0.514484366,1.049851454,0.509574289,1.038166877
98,0.553173077,1.000849053,0.480764024,1.012441843,0.513955403,1.049851454,0.50478249,1.038166877
99,0.566303258,1.000849053,0.515756438,1.012441843,0.51187356,1.049851454,0.509696987,1.038166877
100,0.588393349,1.000849053,0.505128551,1.012441843,0.505263517,1.049851454,0.492736568,1.038166877
