generations,average_mean_0.1p,averagemax_0.1p,average_mean_1p,averagemax_1p,average_mean_2p,averagemax_2p,average_mean_5p,averagemax_5p,average_mean_10p,averagemax_10p,avg_mean_20p,avg_max_20p
22,4.949486067,13.95267423,5.215852142,14.1233387,5.706935828,17.16784922,6.033254347,16.83676847,6.144754465,19.26457723,6.074757913,17.28515116
23,4.89624705,13.95267423,5.145396855,14.1233387,5.888458208,17.16784922,5.951143133,16.83676847,6.235884247,19.26457723,6.094138624,17.28515116
24,5.462094209,14.95757039,5.583371211,15.16163254,6.10894124,17.16784922,6.009328953,16.83676847,6.307610984,19.26457723,6.368403416,17.46323903
25,5.189278208,14.95757039,5.469006105,15.16163254,5.953409986,17.16784922,5.987963378,16.83676847,6.410837763,19.26457723,6.411028574,17.46323903
26,5.256130421,14.95757039,5.391633496,15.16163254,6.118614824,17.16784922,6.199244452,16.83676847,6.339230416,19.41970317,6.699843459,17.6175518
27,5.487483681,14.95757039,5.441360234,15.16163254,6.551785452,17.56005987,6.379609725,16.83676847,6.387151941,19.41970317,6.100809873,17.6175518
28,5.81246422,14.95757039,5.862709787,15.1923186,6.607901069,18.20670954,6.485359267,16.83676847,6.267021984,19.69181252,6.350986201,17.6175518
29,5.476228194,14.95757039,5.150953476,16.80150382,6.48546227,18.20670954,6.359904177,17.66272291,6.068568396,19.69181252,5.803440437,18.65605927
30,5.456630127,14.95757039,5.794253157,16.80150382,6.49136712,18.20670954,6.165807546,17.66272291,6.310847574,19.83336576,6.297438913,18.65605927
31,5.806442514,14.95757039,6.163208991,16.80150382,6.436716687,18.20670954,6.538201929,17.92788442,6.565838491,19.83336576,6.489404313,18.65605927
32,6.207110607,15.76269213,5.904184968,16.80150382,6.495125344,18.20670954,6.204241555,17.92788442,6.411723775,19.83336576,6.325894981,18.65605927
33,5.977780742,15.76269213,5.493358985,16.80150382,6.17081535,18.20670954,6.455670436,17.92788442,6.619431476,19.83336576,6.395041114,18.65605927
34,5.60173154,15.76269213,5.632406501,16.80150382,6.674730062,18.20670954,6.516109213,17.92788442,6.433688291,19.83336576,6.264411331,18.65605927
35,5.801997585,15.76269213,5.6407785,16.80150382,6.944054519,18.20670954,6.388191142,17.92788442,6.959746032,19.83336576,6.21466687,18.65605927
36,5.583536291,16.61944071,6.196683199,16.80150382,6.49967234,18.20670954,6.713353653,18.28814189,6.848592537,19.83650525,6.22385904,18.71149445
37,5.648350079,16.61944071,6.103807581,17.07405504,6.578110915,18.20670954,6.788898756,18.28814189,6.709969908,19.83650525,6.093812689,18.71149445
38,5.975922518,16.61944071,6.06365797,17.07405504,6.454538118,18.20670954,7.169860744,18.28814189,7.178310685,19.83650525,6.416650536,18.71149445
39,5.828840498,16.61944071,6.671899524,17.07405504,7.009127669,18.20670954,6.860349386,18.28814189,7.140720075,19.9882412,6.37327217,18.89243444
40,5.99797108,16.61944071,6.368625709,18.52154795,7.222812613,18.20670954,6.955844046,18.28814189,6.937204534,19.9882412,6.338198503,18.89243444
41,6.395090268,16.61944071,6.76251888,18.52154795,6.8214723,18.20670954,7.032455348,18.28814189,6.916429503,19.9882412,6.24142929,18.89243444
42,5.829641203,16.61944071,5.975102859,18.52154795,6.96081517,18.20670954,7.320934804,18.28814189,7.364649603,19.9882412,6.558200452,18.89243444
43,6.059699393,16.61944071,6.756420119,18.52154795,6.85580629,18.20670954,6.83889933,18.28814189,6.909891592,19.9882412,6.757881902,18.89243444
44,5.910722098,16.61944071,5.96237165,18.52154795,6.952727749,18.20670954,7.196282616,19.12579409,7.194393105,19.9882412,5.817908007,18.89243444
45,6.165270412,16.61944071,6.52332802,18.52154795,6.966728026,18.20670954,6.984874527,19.12579409,7.440893163,19.9882412,6.925610358,18.89243444
46,6.129404937,16.61944071,6.391696199,18.52154795,7.19968353,18.20670954,6.879718205,19.12579409,7.189105128,20.02046013,6.805204078,18.89243444
47,5.763737705,16.61944071,6.665893485,18.52154795,7.146061669,18.20670954,7.091989319,19.12579409,7.23852461,20.05268224,6.838887118,18.89243444
48,5.726784321,16.61944071,6.807695384,18.52154795,6.868207545,18.20670954,7.145702731,19.12579409,7.500026391,20.13132668,6.267067649,18.89243444
49,6.124694706,16.68184662,6.611169343,18.52154795,7.026840777,18.53411929,6.926512046,19.12579409,6.787993394,20.13132668,6.323623871,18.89243444
50,5.786752495,16.68184662,6.548728006,18.52154795,7.224259046,18.53411929,6.974596637,19.12579409,7.224311572,20.13132668,6.555776536,18.89243444
51,6.495751776,16.68184662,6.897056946,18.52154795,6.822634903,18.53411929,6.881318587,19.12579473,7.324626135,20.13132668,6.915121748,18.89243444
52,5.765024905,16.68184662,6.402109135,18.52154795,7.000407791,18.61217244,6.801037427,19.33613269,7.385822115,20.13132668,6.63304995,18.89243444
53,6.026074872,16.68184662,6.449166254,18.52154795,6.946549206,18.61217244,6.888226926,19.33613269,7.76774522,20.13132668,6.549366161,18.89243444
54,5.578916473,16.68184662,6.475043211,18.52154795,7.175591661,18.61217244,7.644546609,19.33613269,7.3987271,20.13132668,6.623233505,18.89243444
55,6.128093312,16.68184662,6.653475028,18.52154795,6.712262113,18.61217244,7.131016089,19.33613269,7.614248139,20.15454865,6.776355585,18.89243444
56,6.379528189,16.68184662,6.846367885,18.52154795,6.542656953,18.61217244,6.671705854,19.33613269,7.561142843,20.15454865,7.144740651,18.89952596
57,6.106678934,16.68184662,6.93363112,18.52154795,6.469591938,18.61217244,6.674502309,19.33613269,7.580333075,20.15454865,6.50287164,18.89952596
58,6.097184187,16.68184662,7.154428377,18.52154795,7.080286948,18.61217244,7.086794702,19.33613269,7.494247699,20.15454865,6.896347036,18.89952596
59,6.220626892,16.68184662,6.57144405,18.52154795,7.032521547,18.61217244,7.088727026,19.33613269,7.847389367,20.15454865,7.090212936,18.95648829
60,6.431958517,16.68184662,6.314799245,18.52154795,6.466220471,18.61217244,6.972377778,19.33613269,7.72317981,20.46650441,7.489942358,18.95648829
61,6.274080682,16.68184662,6.704847411,18.52154795,6.922013656,18.61217244,7.075583883,19.33613269,7.862954575,20.46650441,7.053289711,18.95648829
62,6.008268665,16.68184662,7.176237844,18.52154795,6.910566735,18.61217244,6.88930005,19.33613269,7.864378136,20.46650441,7.302836755,18.95847893
63,6.401719767,16.68184662,6.971855524,18.76706187,7.301217892,18.61217244,7.183706208,19.33613269,7.706504048,20.54700661,7.257702545,18.95847893
64,6.352778233,16.68184662,6.772383866,18.76706187,7.374499888,18.61217244,6.836674594,19.33613269,7.471447677,20.54700661,7.49971052,20.00011381
65,6.28632549,16.68184662,6.904732965,18.76706187,6.943890875,18.61217244,7.331631654,19.33613269,7.666031428,20.54700661,7.275368219,20.00011381
66,6.634958296,16.68184662,7.362773382,18.76706187,6.727857331,18.61217244,6.786586493,19.33613269,7.187714149,20.54700661,7.256741001,20.00011381
67,6.690824473,16.68184662,6.563752384,18.76706187,6.770273695,18.61217244,6.866151566,19.33613269,7.524667041,20.54700661,7.295626799,20.00011381
68,6.668062752,16.68184662,6.705854549,18.76706187,6.925901384,18.64439646,7.149579886,19.33613269,7.499502161,20.62949944,7.790879357,20.00011381
69,6.100437573,16.68184662,6.839533232,18.76706187,6.935443705,18.64439646,7.457098298,19.33613269,7.782222568,20.62949944,7.754313342,20.00011381
70,6.18304675,16.68184662,6.680442412,18.76706187,7.292812723,18.64439646,7.206723537,19.33613269,8.015520704,20.62949944,7.466788962,20.00011381
71,6.771135567,16.68184662,7.108603603,18.76706187,7.058485274,18.64439646,7.301401239,19.41663488,7.833562492,20.62949944,7.581176031,20.06252988
72,6.696196264,16.68184662,6.417313018,18.76706187,7.145707028,18.64439646,7.079115155,19.41663488,7.524632483,20.62949944,7.493364512,20.06252988
73,6.509322896,16.68184662,7.360668328,18.76706187,6.961717195,18.64439646,7.328035839,19.41663488,7.186102327,20.62949944,7.67287273,20.06252988
74,6.477717462,16.68184662,6.794929401,18.76706187,7.158721254,18.64439646,6.94944262,19.41663488,8.354210316,20.62949944,7.482466359,20.61009916
75,6.393847675,16.68184662,6.621297802,18.76706187,7.39388227,18.64439646,7.577476786,19.41663488,7.394560148,20.62949944,7.560375112,20.61009916
76,6.477355087,16.68184662,6.800055317,18.76706187,7.306140893,18.64439646,6.998003911,19.41663488,7.397110894,20.62949944,7.531746893,20.61009916
77,6.147758756,16.68184662,7.180820392,18.76706187,7.783674133,18.64439646,6.898080304,19.41663488,7.417085277,20.62949944,7.406803513,20.61009916
78,6.700822993,16.68184662,6.810943497,18.76706187,7.081888802,18.64439646,6.567751761,19.41663488,7.744326687,20.62949944,7.558971967,20.61009916
79,6.883325556,16.68184662,7.591755085,18.76706187,7.471401783,18.64439646,6.945765681,19.41663488,7.462008275,20.62949944,7.502578805,20.61009916
80,7.072096633,16.68184662,7.03536475,18.76706187,7.21530662,18.64439646,7.423684198,19.41663488,7.471202656,20.62949944,7.860436073,20.61009916
81,6.809993949,16.68184662,7.403518758,18.76706187,7.60781811,18.64439646,7.12221172,19.41663488,7.587395278,20.62949944,7.141357816,20.61009916
82,7.281980149,16.68184662,7.076467817,18.76706187,7.829059423,18.6443971,6.919638924,19.41663488,7.654445736,20.62949944,7.049485831,20.61009916
83,6.630492738,16.68184662,7.213485956,18.7772452,6.710845458,18.6443971,7.32260464,19.62638219,7.384652929,20.62949944,7.149487864,20.61009916
84,6.984408749,16.68184662,7.452772763,18.7772452,7.254279654,18.6443971,7.450262026,19.62638219,7.961582638,20.62949944,7.571723742,20.61009916
85,6.440939911,16.68184662,7.457712975,18.7772452,7.006890489,18.6443971,7.510442379,19.62638219,7.605769079,20.62949944,7.739393291,20.61009916
86,6.712549284,16.68184662,7.328251197,18.7772452,7.181961228,18.6443971,7.945585586,19.62638219,7.595888009,20.62949944,7.708464145,20.636748
87,6.561588537,16.68184662,7.591048984,18.7772452,7.484800169,18.6443971,7.327036125,19.87801488,8.03284287,20.62949944,7.043278607,20.636748
88,7.19696089,16.68184662,7.396012706,18.7772452,7.683545659,18.6443971,7.562993162,19.87801488,7.912077862,20.62949944,7.34420246,20.636748
89,6.505636929,16.68184662,7.527995827,18.7772452,7.431986913,18.6443971,7.789186387,19.87801488,7.640084195,20.62949944,7.878377111,20.636748
90,6.603469803,16.68184662,7.265157658,18.7772452,7.839644385,18.65458043,7.560998112,19.87801488,7.400736628,20.62949944,7.313217472,20.636748
91,7.11128428,16.68184662,7.330498012,18.7772452,7.834221732,18.65458043,7.36542244,19.87801488,7.943062237,20.62949944,8.006502569,20.636748
92,6.823512406,16.68184662,8.088384338,18.7772452,7.71326186,18.65458043,7.045958262,19.87801488,7.795768852,20.62949944,7.305916412,20.636748
93,6.759985073,16.68184662,7.092328826,18.7772452,7.460556722,18.65458043,7.1453446,19.87801488,8.040087257,20.62949944,7.670330197,20.636748
94,7.09493585,16.68184662,7.292558204,18.7772452,7.213222815,18.65458043,7.886661349,19.87801488,7.514009803,20.62949944,7.514815685,20.636748
95,6.873241608,16.68184662,7.6395118,18.7772452,7.758406322,18.65458043,7.621501022,19.87801488,7.188452026,20.62949944,7.684600728,20.636748
96,6.828884028,16.68184662,7.99691309,19.11783854,7.895809895,18.65458043,7.495185482,19.87801488,7.475153196,20.62949944,7.837167166,20.636748
97,7.352043426,16.68184662,7.848462021,19.11783854,7.840716386,18.65458043,7.498053009,19.87801488,7.196059651,20.62949944,7.444914833,20.636748
98,6.85055899,16.68184662,7.675014274,19.11783854,7.482622735,18.65458043,7.252171067,19.87801488,7.213854252,20.62949944,7.743185203,20.636748
99,6.716998375,16.68184662,7.726419896,19.11783854,8.14247254,19.32918294,7.498358028,19.87801488,7.147715317,20.62949944,7.752970233,20.636748
100,6.618498999,16.68184662,7.800710876,19.11783854,8.084580058,19.32918294,7.82440453,19.92743111,7.239932911,20.75342242,7.424613042,20.636748
