generations,average_mean_10,average_max_10,average_mean_50,average_max_50,average_mean_100,average_max_100
74,9.824814793,19.49862353,7.328780574,20.60489146,6.743448759,20.04525884
75,9.218032858,19.49862353,7.509284773,20.60489146,6.701188357,20.04525884
76,9.292910263,19.49862353,6.807658882,20.60489146,6.746480225,20.04525884
77,9.190964095,19.49862353,7.425295323,20.60489146,6.877329283,20.04525884
78,9.628352737,19.49862353,7.352526386,20.60489146,6.74757725,20.04525884
79,9.639101117,19.49862353,7.039946325,20.60489146,6.882403808,20.28277842
80,10.02896324,19.49862353,7.035417393,20.60489146,7.192071279,20.30599976
81,9.425457119,19.49862353,7.403376687,20.60489146,7.082055506,20.30599976
82,9.551122581,19.49862353,7.487135068,20.60489146,7.348711372,20.30599976
83,9.727194136,19.49862353,7.413931318,20.60489146,7.027058972,20.30599976
84,9.898957656,19.49862353,7.369984894,20.60489146,7.145192146,20.30599976
85,9.663883336,19.49862353,7.289925613,20.60489146,6.838693917,20.30599976
86,9.21405089,20.04618963,7.714611314,20.60489146,7.084504948,20.30599976
87,10.25172469,20.04618963,7.383198406,20.60489146,6.851806325,20.30599976
88,10.60197427,20.04618963,7.167129204,20.60489146,6.949734536,20.30599976
89,11.08648314,20.04618963,7.169982908,20.60489146,7.119258149,20.30599976
90,10.10114799,20.04618963,7.651019258,20.60489146,7.010034395,20.30599976
91,9.112362667,20.04618963,6.803683983,20.68539365,6.90085126,20.48548126
92,9.798158328,20.04618963,6.656990168,20.68539365,6.98453627,20.48548126
93,10.00898527,20.04618963,7.073868173,20.68539365,7.05991418,20.48548126
94,10.62664759,20.04618963,7.375370598,20.68539365,7.078779093,20.48548126
95,9.79916521,20.04618963,6.949594955,20.68539365,6.984705768,20.48548126
96,10.16825113,20.04618963,7.382707756,20.68539365,7.243713851,20.48548126
97,9.453718217,20.04618963,7.38720594,20.68539365,7.223308055,20.48548126
98,10.92921604,20.04618963,7.43732328,20.68539365,7.226406365,20.48548126
99,9.338377292,20.04618963,7.417167454,20.68539365,7.336667891,20.48548126
100,10.06184935,20.04618963,7.68007465,20.68539365,6.836090083,20.67624728
